Fullname	CCY	Last	+/-	%	Bid	Ask	Volume	Turnover	Updated (CET)
Revenio Group Oyj	EUR	14.12	+0.06	+0.42%	14.10	14.18	1,024	14,503	09:25:31
Royal UNIBREW	DKK	415.60	+0.80	+0.19%	415.40	416.00	8,888	3,689,035	09:26:24
Rusta	SEK	97.25	-0.75	-0.76%	97.10	97.45	11,640	1,130,973	09:24:59
RVRC Holding	SEK	56.80	-0.05	-0.08%	56.75	56.90	18,966	1,079,240	09:26:33
Röko B	SEK	1,932.00	0.00	0.00%	1,926.00	1,938.00	40	77,272	09:25:32
Samhällsbyggnadsbo. i Norden B	SEK	4.025	-0.053	-1.29%	4.022	4.031	1,504,115	6,086,144	09:26:18
Saniona	SEK	13.45	-0.16	-1.17%	13.45	13.49	38,654	520,871	09:26:03
Sanoma Oyj	EUR	9.32	0.00	0.00%	9.27	9.33	3,098	28,815	09:22:26
Scandi Standard	SEK	144.60	-0.20	-0.13%	144.00	144.80	4,838	697,668	09:25:32
Scandic Hotels Group	SEK	92.85	-0.40	-0.42%	92.75	92.95	12,403	1,152,155	09:25:23
Scandinavian Tobacco Group	DKK	72.30	+1.30	+1.83%	72.10	72.30	160,225	11,599,095	09:26:34
Scanfil Oyj	EUR	13.20	0.00	0.00%	13.16	13.20	208	2,746	09:16:33
Schouw & Co.	DKK	681.00	0.00	0.00%	681.00	683.00	4,034	2,762,441	09:26:13
Sdiptech B	SEK	252.00	+0.60	+0.23%	249.60	251.00	1,178	295,922	09:25:12
SECTRA B	SEK	275.00	+3.40	+1.25%	274.20	274.60	3,056	834,925	09:26:26
Sedana Medical	SEK	9.95	+0.02	+0.20%	9.85	10.04	6,137	61,152	09:25:50
Senzime	SEK	4.60	+0.05	+1.09%	4.555	4.60	5,493	25,085	09:24:58
Sinch	SEK	38.97	+0.20	+0.51%	38.95	39.04	194,517	7,572,169	09:26:25
Sivers Semiconductors	SEK	55.20	+1.20	+2.22%	55.00	55.20	1,715,445	94,418,982	09:26:13
SJF Bank	DKK	344.00	+2.50	+0.73%	342.00	344.00	276	94,323	09:24:03
Sjóvá-Almennar tryggingar	ISK	42.20							00:00:00
Skagi	ISK	18.10							00:00:00
Skel fjárfestingafélag	ISK	16.20							00:00:00
SkiStar B	SEK	153.20	-0.10	-0.06%	153.10	153.40	3,630	557,208	09:26:02
Skjern Bank	DKK	310.00	+2.00	+0.64%	307.00	310.00	477	147,585	09:23:51
Sleep Cycle	SEK	24.25	0.00	0.00%	24.25	24.30	4,724	114,793	09:18:13
Solar B	DKK	200.50	+0.50	+0.25%	200.00	201.00	2,718	543,094	09:20:01
Solid Försäkringsaktiebolag	SEK	98.90	-0.50	-0.50%	98.50	98.90	3,017	298,568	09:26:08
SP Group	DKK	391.50	-2.50	-0.63%	390.50	393.50	69	27,018	09:22:55
